start	end	text
534180	537180	I'm Kyle and I'm a website consultant.
541180	544180	My name's Paul, I invented the dice.
548180	550180	I'm a construction contract manager.
551180	555180	It's 4pm. With only two hours of daylight remaining,
555180	559180	the men's priority has to be finding a safe place to shelter for the night.
561180	565180	If they can't, they'll have to sleep rough on the jungle floor,
565180	569180	alongside potentially deadly scorpions, snakes and caiman crocodiles.
571180	574180	We're assuming that the north side of the island
574180	577180	would be nice beachy, sandy, flat seas.
577180	580180	Paul thinks the group's best option is a beach.
580180	581180	Let's go.
582180	584180	And he's convinced they have time to cross the island
584180	586180	to find one before dark.
586180	589180	Who else was imagining sunny beaches
589180	591180	when they thought about coming out here?
591180	593180	These trees here are very sharp.
594180	596180	There you go.
596180	599180	I believe it will now be referred to as the porcupine tree.
599180	600180	Vicious.
602180	605180	The interior of the island is three square kilometres
605180	608180	of mangrove swamp and unbroken jungle.
608180	610180	And I know from experience
610180	612180	that moving through dense island undergrowth
612180	614180	is a slow, exhausting work.
614180	617180	It will do all you can to stop you in your tracks.
617180	621180	And often, the harder you push, the harder it pushes back.
621180	623180	Whoa! Stop!
625180	627180	There's a snake down here.
627180	628180	It's a boa, isn't it?
628180	630180	Take its head off if it's a decent size, mate.
630180	631180	Get stuck in.
631180	632180	Is anyone going to help me?
632180	635180	I'm trying to carry a bag and a machete and kill a snake.
635180	638180	He's looking pretty aggressive. He's coiling, isn't he?
638180	641180	I need a long stick just to put on its head.
642180	643180	Mind you, no snake.
643180	644180	Mind you...
644180	647180	No, don't, don't, don't, don't, don't do that, for fuck's sake.
647180	649180	Listen, should we just throw this case on it?
649180	650180	No.
650180	652180	Part of me thinks, should we just leave it?
652180	654180	Didn't even flinch, did it?
655180	657180	Yeah, yeah, let's keep going.
659180	661180	If we don't get out of this shrub,
661180	663180	we're going to be sleeping here tonight.
663180	665180	It ain't safe and it's not cool.
666180	668180	With just an hour to go until nightfall,
668180	671180	the men have covered barely 400 metres.
671180	672180	Paul!
672180	673180	Yes?
673180	675180	You going to come and get a drink?
675180	676180	The darker it's getting,
676180	678180	the more it's getting a little bit worrying.
678180	679180	Tap on it when you're done.
679180	682180	Somehow I've fallen into chief navigator mode,
682180	683180	but I'm on it.
685180	687180	My days are very stressful.
687180	689180	It really doesn't fucking matter.
689180	690180	I don't give a fuck.
690180	693180	A lot of the time I think that most people are fucking idiots.
693180	695180	Just get that load out, get that load out.
695180	697180	You can't build the internal walls anyway.
697180	701180	Being called a bastard is just a friendly greeting
701180	703180	in the building industry.
703180	705180	Get in there and get it done.
705180	708180	This experience might change me.
708180	710180	Hopefully for the better.
710180	713180	It might make me be a little bit more tolerant of other people.
713180	715180	Come on, fuckers.
715180	717180	This is going to take us fucking hours.
717180	719180	Yeah, it's about to get darker and darker as well.
719180	722180	Yeah, I know, so that's why we've just got to get through it.
722180	723180	We need to start to think,
723180	725180	do we want to be hacking through this stuff
725180	726180	when it's pitch black,
726180	728180	or the next time we see a clearing,
728180	730180	are we going to think about settling down for the night?
730180	733180	Mate, I personally want to just plough on and make it.
733180	735180	I mean, it's going to get darker in here
735180	737180	quicker than it is on the beach.
737180	739180	I say we plough on.
739180	741180	This is crazy. This is absolutely crazy.
744180	746180	I don't know what to say right now.
749180	751180	I never had the money to go travelling.
751180	753180	I've never done anything that's been a bit sort of edgy,
753180	755180	that's been a bit...
756180	758180	..dangerous, I guess.
758180	760180	I don't think I'm as confident as I was
760180	761180	as I say I am,
761180	764180	and I think a lot of what I do can be a front.
764180	767180	The sort of persona of alpha male to me
767180	769180	is everything my stepdad was.
769180	772180	I saw enough of him growing up to realise who not to be.
772180	775180	I guess it's time to find out who I really am.
775180	778180	Keep coming! We're only 100 metres away!
779180	782180	It keeps saying it's like the beach is 100 metres away.
782180	784180	It's all getting a little bit pissed off
784180	786180	because we've been walking for about fucking miles
786180	787180	and it's not here.
787180	789180	The temperatures are freeing.
790180	794180	It's like 51-year-old builder Andy is struggling to keep up.
794180	796180	At the moment, it's like every man for himself.
797180	798180	For fuck's sake.
801180	802180	First.
802180	803180	Cut.
807180	809180	We've not even made any ground
809180	812180	and we are all...fucked.
813180	816180	Joe, pop Randy and help you.
816180	819180	He's got a really awkward box on his arm.
819180	820180	I know it's a ball-legged kid,
820180	822180	but you're carrying one of the fucking easiest things in the world.
822180	823180	I'm a fuck.
823180	824180	I know it's heavy.
824180	825180	I'm a fuck, pal. No, I'm not.
825180	826180	But it's easy.
826180	827180	You want to carry this bag?
827180	828180	It's fucked.
828180	830180	I'll swap you now, mate, if you want.
833180	838180	At the front, Paul pushes on, despite the group's growing descent.
839180	841180	Have we got lights in those cameras, Sam?
841180	842180	Bit of infrared.
842180	844180	How you doing, mate?
844180	845180	Some people ain't playing ball.
845180	847180	In what way? What do you mean?
847180	848180	Oh.
848180	850180	Cracking on with fuck all, you know?
851180	853180	We could all do that, like a hero with a machete.
853180	854180	Come on.
854180	855180	For fuck's sake.
855180	857180	I know we all want to get on, but...
858180	860180	you've got to think of everybody else now. We're a team.
860180	862180	You can't just be selfish, you know?
864180	865180	Oh, there's a bit of light, look.
867180	868180	This is amazing.
868180	869180	I've found the sea.
876180	877180	Ah.
878180	879180	Ah.
879180	882180	Ha, ha, ha, ha, ha.
882180	883180	Oh.
883180	885180	Yeah, it's a good beach.
885180	886180	Come on.
886180	888180	Hooray, boys.
888180	889180	Come on.
889180	890180	Booyah.
890180	891180	Beach.
891180	892180	Ha, ha.
892180	893180	Pina coladas.
893180	894180	Ha, ha, ha, ha.
904180	906180	It's the hardest thing I've ever done.
908180	910180	Come on.
910180	911180	Come on.
911180	912180	Fuck.
915180	918180	I never thought I'd be so happy to see the beach in my entire life.
919180	920180	Well done, mate. Well done.
929180	930180	Fuck.
930180	931180	Nice one, mate.
936180	937180	Oh.
938180	939180	I never doubted myself.
939180	941180	Never underestimate your own abilities.
944180	947180	The sun's just beginning to set, so we're just in time.
947180	949180	And everyone is on such a high right now.
949180	950180	That's a whale.
950180	951180	It's a whale.
951180	952180	Wow.
952180	955180	Wow, wow, wow, wow, wow.
956180	960180	We're still there watching the sunset, and there's whales swimming past us.
960180	961180	Pretty cool.
961180	963180	You don't get that often, do you?
968180	970180	You're right.
970180	971180	About two minutes sleep, I think.
971180	972180	One time, huh?
973180	979180	16 hours ago, I dropped 14 ordinary British men on a remote desert island.
979180	982180	I haven't slept for a minute.
982180	984180	Not a minute.
984180	989180	They have spent their first night on the beach with no shelter.
989180	991180	Is that really shit?
991180	993180	Oh, what have we done?
993180	996180	Ha, ha, ha, ha, ha.
996180	998180	You never get that realization.
998180	1001180	You've done something you didn't quite think all the way through.
1001180	1003180	At one point, I was shitting if we were going to get washed away.
1003180	1005180	I was like, did it get that close?
1005180	1007180	I mean, you can see the line, mate.
1007180	1008180	You can see the line.
1008180	1011180	The line's, what, three foot away from where we were?
1013180	1017180	Look at the amount of rubbish on this beach.
1017180	1019180	Has anyone found a left shoe?
1019180	1022180	Yeah, but these, I'm not too sure if I'm going to go for these.
1022180	1024180	What are you?
1024180	1025180	A bit last season.
1025180	1026180	Hey, lads.
1026180	1027180	Look.
1027180	1029180	Found a pink pair.
1029180	1031180	These are bloody comfortable.
1033180	1034180	Look at these bad boys.
1034180	1036180	This is the male version.
1040180	1045180	The men came onto the island with just a day's supply of drinking water.
1045180	1046180	Mouthfuls.
1046180	1052180	But after yesterday's arduous trek in 34-degree heat, it's all but gone.
1052180	1053180	Tropical storm season.
1053180	1055180	Really, there shouldn't be any shortage of water.
1055180	1058180	And obviously, rain itself is drinkable without purification.
1058180	1061180	But once it hits the ground, it becomes contaminated.
1061180	1063180	All sorts of bacterias and nasties there.
1063180	1069180	From experience, I can tell you, animals aren't fussy about where they crap.
1069180	1071180	Oh, my God.
1071180	1073180	Look at all the crap that's in there.
1073180	1075180	That's fucking horrible.
1075180	1083180	Without boiling, this rancid water would almost certainly give the men stomach cramps and diarrhoea.
1083180	1085180	It's not salty, but...
1085180	1086180	I'll tell you what.
1086180	1088180	I've had hangover shits that smell better than that.
1088180	1089180	Guys, can we...
1089180	1094180	Why don't we all kind of gather in and have some sort of conflab about what we're going to do today?
1094180	1096180	Yeah, I think that might be a very good idea, please.
1096180	1097180	Go on, guys.
1097180	1098180	Gather round.
1098180	1099180	You want a plan of action, lads?
1099180	1100180	Yeah.
1100180	1103180	We 100% need to try and make a fire now.
1103180	1110180	If we don't make a fire and something to boil new water, we are going to be in bad shape by tomorrow morning.
1110180	1112180	Food is becoming a priority very quickly.
1112180	1117180	For a lot of people, we're going to have to get something substantial to eat fairly soon.
1117180	1118180	Right.
1118180	1120180	Meet and adjourn.
1120180	1122180	Shall we dance, sir?
1122180	1123180	Is that ready?
1123180	1124180	Let's go.
1124180	1126180	The men decide to split up.
1126180	1132180	Having eaten nothing since they arrived, the majority of the group head off to look for food,
1132180	1136180	while engineer Dan and builder Andy take on the fire lighting.
1136180	1139180	It's quite a lot of pressure to get this fire going.
1139180	1140180	You're down?
1140180	1141180	I'm up.
1141180	1142180	Yeah.
1142180	1143180	To me?
1143180	1144180	To me.
1144180	1145180	Awesome.
1145180	1147180	That is not an ideal start, is it?
1147180	1149180	That did one stroke.
1149180	1150180	Oh, lads.
1150180	1153180	I shot my load.
1153180	1158180	Round about here, there's about six, maybe ten snails and shit, yeah?
1158180	1165180	Along the coast, 47-year-old Vic has decided to put Joe, the group's youngest member, to work.
1165180	1167180	We should definitely have put some fucking shoes on.
1167180	1169180	That might have been a wise idea, fella.
1169180	1170180	Oh!
1170180	1171180	Just anything.
1171180	1173180	Limpets, crabs, give them a crack.
1173180	1174180	Snails.
1174180	1176180	You spot them, fella, and I'll club them.
1176180	1178180	Do these snails bite?
1178180	1181180	I feel as though something with legs is going to come out of there, innit?
1181180	1182180	A nippy.
1182180	1186180	Don't put your finger where you won't put your dick, because it might get bit.
1186180	1191180	And this, ladies and gentlemen, is how the nearest we get to Michelin star.
1191180	1193180	Will we put it on a bed of anything?
1193180	1201180	One.
1201180	1206180	A morning's hard graft provides nothing more than a handful of limpets.
1216180	1217180	Give it a good old cheer.
1217180	1218180	Fucking hell.
1218180	1219180	Yeah.
1219180	1221180	Yeah, it's tough.
1221180	1222180	Limpets.
1222180	1224180	Limpets are horrendous.
1224180	1226180	You don't buy them in supermarkets, do you?
1226180	1228180	So they're not known for being very nice.
1228180	1230180	I don't think they're very nice at all.
1232180	1235180	For now, the men will have to go hungry.
1237180	1238180	Stop.
1239180	1241180	Who said there's no smoke without fire?
1241180	1243180	Lying bastards.
1243180	1245180	The fire's pissed me off a little bit.
1246180	1248180	I just don't know what we're doing wrong.
1249180	1252180	Lighting a fire has become an urgent priority.
1253180	1255180	It's 34 degrees in the shade,
1255180	1259180	and the men have had little to drink in the past 12 hours.
1259180	1261180	We've literally, we've got no water.
1261180	1262180	None at all?
1262180	1263180	None.
1263180	1265180	I had a piss 20 minutes ago,
1265180	1267180	and it was like pissing lion's golden syrup.
1267180	1268180	I had to push it out.
1273180	1275180	That is not viscous and clear.
1275180	1276180	No, it's definitely not.
1276180	1281180	The men are starting to show the telltale signs of serious dehydration.
1282180	1284180	Thirsty, really bloody thirsty.
1291180	1292180	Gone out of me.
1292180	1293180	I said, fuck off.
1295180	1297180	The vultures are circling already.
1298180	1299180	Look at the size of that.
1299180	1300180	Jesus.
1300180	1301180	That's prehistoric.
1302180	1303180	How about your glasses?
1303180	1304180	Do you reckon we can...
1304180	1305180	Can I try your glasses?
1305180	1306180	Try it, mate.
1306180	1307180	Yeah.
1307180	1309180	With their need for fire now critical,
1309180	1310180	web consultant Kyle,
1310180	1312180	has an idea he wants to try.
1313180	1315180	We've got Andy's glasses.
1315180	1318180	Just basically using the sun to focus at one point
1318180	1320180	is giving us quite a lot of heat.
1320180	1321180	Come on.
1322180	1323180	Come on.
1324180	1327180	Hoping that's going to work, the old glasses.
1330180	1331180	Let go, let go.
1334180	1336180	Oh, go on, Andy lad.
1336180	1337180	Sticks.
1337180	1338180	Get the little sticks.
1338180	1339180	Preparation.
1339180	1340180	Where's the next last stick?
1340180	1341180	Where's the rest of the shit?
1341180	1342180	Where's the rest of the stuff?
1342180	1343180	Sticks.
1343180	1344180	Fucking sticks.
1344180	1345180	Get up there.
1345180	1346180	Get up there.
1346180	1347180	Swipe right side.
1347180	1348180	Swipe right side.
1348180	1349180	All right.
1349180	1350180	Put it off.
1350180	1351180	Put it off.
1351180	1352180	Real tight.
1352180	1353180	Breathe it.
1353180	1354180	Go on, Andy.
1354180	1355180	Go on, son.
1355180	1356180	Go on, son.
1356180	1357180	Go on.
1357180	1358180	Slow.
1358180	1359180	Slow hard.
1359180	1360180	Slow hard.
1360180	1361180	He'll go.
1361180	1362180	Come on.
1362180	1363180	That's it.
1363180	1364180	Come on.
1364180	1365180	It's nigger there.
1365180	1366180	Keep going.
1366180	1367180	Keep going.
1367180	1368180	Keep going.
1368180	1369180	Keep going.
1369180	1370180	Sticks.
1370180	1371180	Twigs.
1371180	1372180	You got it.
1372180	1373180	The little twigs.
1373180	1374180	Yeah.
1374180	1375180	Twigs.
1375180	1376180	Yeah, twigs.
1376180	1377180	Found you.
1377180	1378180	Twigs.
1378180	1379180	Slowly, slowly.
1379180	1380180	Slowly, slowly, slowly.
1380180	1381180	Yeah.
1381180	1382180	There we go.
1382180	1383180	Bingo.
1383180	1384180	Well done, you two.
1384180	1385180	It was Kyle that started it.
1385180	1386180	Good.
1386180	1387180	Of course it was.
1387180	1388180	He showed me the way and I followed through.
1388180	1389180	I see.
1389180	1390180	We've done well.
1390180	1391180	We got there.
1391180	1392180	Absolutely brilliant.
1392180	1393180	Well done.
1393180	1394180	What a dark horse.
1394180	1395180	Excuse the pun.
1395180	1396180	We all take it back about the IT guy.
1397180	1398180	Fucking yes.
1398180	1399180	Well done, Kyle.
1399180	1408180	After eight hours of trying, the men finally have a fire on which to boil the stagnant water.
1408180	1412180	I'm going to drink and drink and drink until my piss falls clear.
1412180	1413180	And your verdict is?
1413180	1415180	I mean, it's almost like normal water.
1415180	1417180	There's a bit of sort of pond in there.
1417180	1419180	That is top notch.
1419180	1423180	It doesn't taste like piss, does it?
1423180	1425180	It tastes like metal weight tea.
1425180	1428180	As long as the fire stays lit, the men will have a source of safety.
1428180	1430180	They have a source of safe drinking water.
1430180	1431180	A little bit of that.
1431180	1432180	A little bit of that.
1432180	1433180	One achievement there.
1433180	1442180	But keeping it alight during tropical storm season will be a huge challenge.
1442180	1443180	Shit.
1443180	1444180	Look at that rain.
1444180	1446180	So look like right there, tropical paradise.
1446180	1447180	And then there.
1447180	1448180	Shit hole.
1448180	1449180	Shit hole.
1449180	1450180	It's like Waitrose and Aldi all in one picture.
1450180	1451180	What I'm worried about is that this hot shoe is still wet.
1451180	1452180	Oh shit.
1452180	1453180	Right here?
1453180	1454180	It's not wet.
1454180	1455180	It's just cold.
1455180	1456180	But it's not like the weather.
1456180	1457180	The temperature is protect us from cold.
1457180	1460420	What I'm worried about is everyone's off doing other things,
1460460	1463180	and in a minute, it's going to be pissing down with rain.
1463220	1467660	I actually think it'd be quite important to build a shelter for the fire.
1467700	1471340	I've not got the energy to build a shelter or anything at the moment.
1471380	1473140	If I could, I would, I promise you.
1474740	1476940	A little bit worried about Andy.
1476980	1481100	He seems to have separated himself from the group a little bit.
1481140	1482940	When everybody's together, he walks off.
1482980	1486740	He's now making a bed over there, which just seems a bit childish.
1486740	1489580	Feels like he doesn't want to be part of the group.
1489620	1491100	Hey, hey, I've got a bed.
1491140	1494100	All I want to do at the moment is get some sleep.
1494140	1495740	Just some, you know?
1499460	1501300	I think middle age has made me boring.
1501340	1504700	I've got a beautiful wife, lovely house, nice job, etc.
1504740	1507580	All the stuff that most people strive to get.
1507620	1509940	And yet I'm still searching for something.
1509980	1512180	Perhaps all men get like that, I don't know.
1512220	1514020	Perhaps I make a mid-life crisis.
1514060	1516700	I don't like myself as much as I used to, put it that way.
1516780	1520900	I think I need a new adventure, to put that right.
1534940	1537140	Do you want to help us get a sink, just to cover this up?
1537180	1539140	Cos it's going out already.
1539180	1541020	An hour before sunset...
1541060	1543260	The heavens have opened, as expected.
1544580	1545620	We've got a fire going.
1545660	1546540	Yeah, but we've got to put...
1546540	1547380	This is brilliant.
1547420	1549820	However, it is now pissing down with rain.
1549860	1552460	We've got no cover over it whatsoever.
1552500	1555340	We've got nowhere to sleep whatsoever.
1555380	1559820	So I would say our priority is shelter.
1559860	1561780	Honestly, in the politest way possible,
1561820	1565300	we need to cover up this fucking fire cos it's going to go out.
1565340	1569980	Without the fire, the men will have no means of purifying water to drink.
1570020	1573300	Who is doing the leaves? Is anybody getting the leaves to cover this?
1573340	1575420	That is going out in about half an hour.
1575420	1581140	Yeah, clusterfuck. Or foovar. I don't know what the correct military term is.
1581180	1584140	So now we've got a million people trying to do a million things.
1584180	1586100	Hopefully we'll have a million answers.
1586140	1587580	George is fucking mad.
1594940	1597940	This rain is absolutely unbelievable.
1597980	1600700	You don't ever see rain like this in the UK.
1600740	1603300	Absolutely, completely...
1603340	1604300	Stoking.
1604340	1605260	8pm.
1605260	1608580	The men are still desperately trying to make a watertight shelter
1608620	1610380	to save their fire.
1610420	1612380	Over and under. That's it.
1612420	1614820	See if we can bend it, Bart.
1614860	1619100	In this part of the Pacific, storms can last for days
1619140	1622540	and dump inches of rain in an hour.
1622580	1623580	It's a great night.
1623620	1626980	Obviously, we're staying dry under the shelter that we've made.
1627020	1631340	It's a good job we made it, otherwise we'd be absolutely saturated right now.
1631380	1635060	The roof might need possibly a tweak or two.
1635260	1639780	There is a minor bit of snagging before practical completion.
1639820	1644220	It's just something simple like perhaps taking the whole fucking thing down and redoing it.
1648820	1651380	Has anyone checked on Andy?
1651420	1652660	Fuck, we've got one.
1652700	1654100	Andy!
1654140	1655820	Andy!
1655860	1658020	Andy!
1658060	1659700	We've got a headlight, guys.
1659740	1665100	Andy chose to not help the group in any way, shape or form.
1665100	1666620	And went off on his own.
1666660	1667780	Andy's here.
1667820	1669300	Vicky and Andy's here under the tree.
1669340	1672860	I think Andy needs to get a little bit more involved with this all, to be honest.
1678700	1681260	It absolutely pissed down last night.
1681300	1686500	Everyone was awake and everyone was just so wet through.
1686540	1689860	I was sat there and I was just thinking, what am I doing here?
1689900	1691740	I feel kind of pissed.
1691780	1693820	Yeah. It's weird.
1693860	1693980	Yeah.
1694020	1694940	I feel like...
1694940	1696620	I've had a couple of pints.
1696660	1698180	I can't move my legs.
1698220	1700060	I've sat up, I just can't move.
1700100	1701060	Has the bed paralysed you?
1701100	1702140	Yeah. That's great.
1702180	1704460	Completely numb from cocked down.
1706580	1708260	6am.
1708300	1711780	Last night, a violent tropical storm battered the island.
1713900	1717580	After a desperate struggle, the group managed to save their fire
1717620	1720060	with a small temporary shelter.
1720100	1723420	But the men themselves had no protection from the elements.
1724940	1726660	Video diary.
1726700	1728140	I don't know what day it is.
1728180	1730060	I don't know if it's day two, day three.
1730100	1733100	Still no sleep after getting on the island.
1733140	1737340	I think I've had about, honestly, swear to God, an hour's sleep.
1737380	1738580	I can't do it.
1738620	1742900	I've got to think about myself now, you know?
1742940	1744620	Yeah. I've been up all fucking night.
1744660	1746180	I'm a mess because of it.
1746220	1748780	Sleep really is critical to survival
1748820	1751460	because it affects our physical and our mental health.
1751500	1754500	When you get enough of it, it helps your body to recover,
1754500	1757620	to heal, you process thoughts, process memories,
1757660	1760940	but when you don't get enough of it, that's when you become careless,
1760980	1763140	it affects your decision-making abilities
1763180	1765180	and it can even lead to depression.
1767940	1769420	How you doing, fella?
1769460	1770660	Ooh. What's up?
1772300	1774420	I'm struggling a bit, I think.
1776060	1777780	At the moment. With?
1777820	1779700	The mentality of it all.
1779740	1782580	You know what I mean? You've got to get yourself in, like...
1784500	1789020	..in the zone, as it were, and I'm struggling to find the zone, at the moment.
1790460	1792660	I'm really worried about Joe.
1792700	1797700	He's just kind of wandering around, sitting down, head in his hands.
1797740	1800500	I kind of think he's feeling sorry for himself, really,
1800540	1802380	and he's obviously missing home.
1802420	1804100	What's her name? Charlotte.
1804140	1805980	SHE SIGHS
1806020	1808140	Maximum three. You miss her, mate, don't you?
1808180	1809620	So, he made it in two.
1809660	1811860	SHE SIGHS
1811900	1813660	Yeah.
1813700	1814340	Yeah.
1814340	1816100	Best thing that happened to me, though.
1816140	1818060	How long have you been together? Five years.
1818100	1819940	For the first time ever, since I met her,
1819980	1822820	that I've gone 24 hours without speaking to her, so...
1822860	1824980	In fact, you might...
1825020	1826580	Come on, dude, hug it out!
1828740	1830820	You'll be fine, mate, you'll be absolutely fine, honestly.
1830860	1832380	You'll be fine, honestly.
1832420	1834140	HE SIGHS
1838740	1841060	If I don't have a good night's sleep fairly soon,
1841100	1843300	I'm going to end up throttling someone inadvertently.
1843340	1844260	I'm not joking.
1844260	1845580	I'll lose my rag.
1845620	1846900	I don't want a bed to sleep in.
1846940	1848220	I'm not going to get soaking wet.
1848260	1849340	SHE SIGHS
1851460	1854580	The group are relying on their two builders, Andy and Paul,
1854620	1857940	to construct a new watertight shelter.
1857980	1862060	But both have a very different idea about where to put it.
1862100	1864420	We need to pick a location to build this shelter on.
1864460	1865460	Correct.
1865500	1867460	We have two potential locations.
1867500	1869260	Andy, is your place on the beach?
1869300	1870260	Yeah.
1870300	1871780	SHE SIGHS
1871820	1874060	I can put any of these little bits of thicket and brush
1874060	1875300	into it easily.
1875340	1877660	Look, we've got a pit there for a fire pit.
1877700	1880020	This is an absolutely perfect camp.
1880060	1881700	Job's good.
1881740	1883500	This is not Andy's, is it?
1885340	1888140	You're more exposed to the tides, you're more exposed to the weather,
1888180	1891100	and we're going to get bitten to smotherings by sandflies.
1891140	1893060	It's not an option. No way.
1893100	1896460	Andy's camp, it looks like it'll flood at the tidal surge,
1896500	1899860	there's plastic bottles everywhere, I think we'll get bitten to shit.
1899900	1901460	Pointless. Give me my opinion, mate.
1904060	1906820	Fucking nobody listened to fucking me.
1906860	1910020	I would love to have come down here for Andy's sake and gone,
1910060	1911740	this is fucking brilliant, mate.
